YEAR;TRIMESTRE;;AEROPUERTO;AMAIME;CANDELARIA;CENICAYA;CORINTO;EL NARANJO;GUACARI;LA PAILA;VIRGINIA;MELENDEZ;MIRANDA;PALMIRA RITA;PRADERA;SAN MARCOS;TULUA
1995;1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;2;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;3;;-1,458;-1,254;-0,945;-1,371;-1,788;-1,419;-1,193;-1,192;-1,361;-0,941;-1,258;-1,366;-1,209;-1,065;-1,413
1995;4;;-1,697;-1,149;-0,827;-1,51;-1,977;-1,676;-0,87;-0,779;-1,354;-0,86;-1,126;-1,551;-1,186;-0,97;-1,346
1995;5;;-1,452;-0,221;0,059;-0,917;-2,15;-1,191;0,505;0,273;-0,069;0,526;-0,294;-1,013;-0,021;-0,218;0,127
1995;6;;-1,039;0,274;0,493;0,186;-1,475;-0,076;1,302;0,846;0,939;1,073;0,807;-0,321;1,002;-0,244;1,172
1995;7;;-0,041;0,71;0,895;0,522;-0,702;0,849;1,519;0,993;1,215;1,472;1,03;0,121;1,48;0,233;1,326
1995;8;;0,807;1,465;1,197;0,706;0,176;1,371;1,679;1,219;1,15;1,371;1,167;0,802;1,421;1,083;1,169
1995;9;;0,511;1,022;0,783;0,248;-0,453;0,698;1,165;0,747;0,876;0,821;0,597;0,49;0,408;0,644;0,582
1995;10;;0,488;0,906;0,99;0,144;-0,807;0,661;0,998;0,424;0,725;0,659;0,518;0,595;-0,203;0,831;0,3
1995;11;;0,084;0,559;0,858;-0,221;-1,103;0,148;0,459;-0,387;0,288;0,109;0,196;0,483;-0,858;0,321;-0,08
1995;12;;0,415;0,861;1,574;-0,147;-0,593;0,356;1;-0,18;0,496;0,608;0,5;0,608;-0,573;0,663;0,366
1996;1;;0,09;0,836;0,796;-0,407;-0,442;0,136;0,674;-0,07;0,604;0,299;0,211;0,009;-0,473;0,268;0,294
1996;2;;0,776;1,062;0,972;0,152;0,372;0,585;0,768;0,262;0,732;0,833;0,656;0,333;0,251;0,672;0,806
1996;3;;0,99;1,286;1,299;0,79;0,748;1,153;0,96;0,804;1,089;1,028;1,071;0,846;1,069;1,219;1,037
1996;4;;1,141;1,49;1,522;0,918;1,444;1,382;1,05;0,747;0,998;1,489;0,995;1,291;1,327;1,363;1,225
1996;5;;0,962;1,493;2,071;1,134;1,269;1,796;1,409;0,8;1,605;1,652;1,221;1,441;1,503;1,83;1,311
1996;6;;0,557;1,117;2,17;0,778;0,808;1,326;1,05;0,457;1,676;1,705;0,719;1,261;0,852;1,379;1,119
1996;7;;0,331;1,55;1,805;1,886;0,608;1,074;1,265;0,388;1,37;1,46;0,787;1,436;0,724;1,584;1,272
1996;8;;0,04;1,067;1,28;1,724;0,741;0,647;0,763;0,177;0,913;0,964;0,497;1,07;0,445;0,737;0,82
1996;9;;-0,191;0,668;0,542;1,484;0,359;0,351;0,265;-0,024;0,373;0,598;0,087;0,806;0,172;0,518;0,311
1996;10;;-0,013;0,655;0,749;0,205;0,517;0,5;0,221;0,184;0,34;0,74;0,17;0,566;0,163;0,593;0,225
1996;11;;-0,289;0,509;0,389;-0,296;-0,02;0,034;0,099;-0,178;0,199;0,336;-0,347;0,403;-0,275;0,03;-0,091
1996;12;;-0,37;0,468;0,688;-0,087;-0,151;0,001;0,39;-0,094;0,061;0,287;-0,269;0,299;-0,562;-0,076;0,032
1997;1;;0,13;1,038;1,49;0,466;0,218;0,761;1,16;0,164;0,293;0,875;0,756;1,651;0,471;0,477;0,557
1997;2;;0,767;1,069;1,484;0,881;0,642;1,126;1,363;0,47;0,641;1,244;1,03;1,266;0,987;1,163;0,961
1997;3;;1,314;1,141;1,449;0,798;0,903;1,096;1,336;0,637;0,709;1,274;1,092;1,24;1,182;1,277;1,035
1997;4;;0,788;0,668;0,943;-0,106;0,757;0,557;0,997;0,435;0,505;0,776;0,257;0,444;0,281;0,926;0,767
1997;5;;0,281;0,064;0,316;-0,39;0,614;0,395;0,297;-0,393;-0,489;0,272;-0,553;0,346;-0,361;0,277;-0,081
